,state,year,prisoner_count
256,ALABAMA,2006,24103
257,ALASKA,2006,5052
258,ARIZONA,2006,35752
259,ARKANSAS,2006,12854
260,CALIFORNIA,2006,172298
261,COLORADO,2006,22051
262,CONNECTICUT,2006,18902
263,DELAWARE,2006,7021
264,FLORIDA,2006,90377
265,GEORGIA,2006,52792
266,HAWAII,2006,5510
267,IDAHO,2006,6665
268,ILLINOIS,2006,45106
269,INDIANA,2006,24901
270,IOWA,2006,8838
271,KANSAS,2006,8833
272,KENTUCKY,2006,15589
273,LOUISIANA,2006,20815
274,MAINE,2006,2083
275,MARYLAND,2006,22662
276,MASSACHUSETTS,2006,10773
277,MICHIGAN,2006,51515
278,MINNESOTA,2006,8814
279,MISSISSIPPI,2006,16384
280,MISSOURI,2006,30116
281,MONTANA,2006,2948
282,NEBRASKA,2006,4399
283,NEVADA,2006,12754
284,NEW HAMPSHIRE,2006,2676
285,NEW JERSEY,2006,25554
286,NEW MEXICO,2006,6639
287,NEW YORK,2006,63538
288,NORTH CAROLINA,2006,37725
289,NORTH DAKOTA,2006,1337
290,OHIO,2006,48482
291,OKLAHOMA,2006,22873
292,OREGON,2006,13191
293,PENNSYLVANIA,2006,43971
294,RHODE ISLAND,2006,3713
295,SOUTH CAROLINA,2006,22930
296,SOUTH DAKOTA,2006,3316
297,TENNESSEE,2006,19312
298,TEXAS,2006,158510
299,UTAH,2006,5031
300,VERMONT,2006,2215
301,VIRGINIA,2006,30823
302,WASHINGTON,2006,16827
303,WEST VIRGINIA,2006,4367
304,WISCONSIN,2006,22564
305,WYOMING,2006,2035
307,ALABAMA,2007,25253
308,ALASKA,2007,5151
309,ARIZONA,2007,37700
310,ARKANSAS,2007,13275
311,CALIFORNIA,2007,171444
312,COLORADO,2007,22666
313,CONNECTICUT,2007,19438
314,DELAWARE,2007,7110
315,FLORIDA,2007,95187
316,GEORGIA,2007,54256
317,HAWAII,2007,5457
318,IDAHO,2007,7055
319,ILLINOIS,2007,45215
320,INDIANA,2007,25137
321,IOWA,2007,8692
322,KANSAS,2007,8721
323,KENTUCKY,2007,15364
324,LOUISIANA,2007,20461
325,MAINE,2007,2148
326,MARYLAND,2007,23184
327,MASSACHUSETTS,2007,11071
328,MICHIGAN,2007,50233
329,MINNESOTA,2007,9192
330,MISSISSIPPI,2007,17478
331,MISSOURI,2007,29823
332,MONTANA,2007,2909
333,NEBRASKA,2007,4402
334,NEVADA,2007,13311
335,NEW HAMPSHIRE,2007,2759
336,NEW JERSEY,2007,25354
337,NEW MEXICO,2007,6429
338,NEW YORK,2007,62738
339,NORTH CAROLINA,2007,38240
340,NORTH DAKOTA,2007,1392
341,OHIO,2007,49894
342,OKLAHOMA,2007,23778
343,OREGON,2007,13373
344,PENNSYLVANIA,2007,45530
345,RHODE ISLAND,2007,3745
346,SOUTH CAROLINA,2007,23578
347,SOUTH DAKOTA,2007,3276
348,TENNESSEE,2007,19268
349,TEXAS,2007,158576
350,UTAH,2007,5165
351,VERMONT,2007,2116
352,VIRGINIA,2007,32977
353,WASHINGTON,2007,16911
354,WEST VIRGINIA,2007,4907
355,WISCONSIN,2007,22839
356,WYOMING,2007,1927
358,ALABAMA,2008,25363
359,ALASKA,2008,4997
360,ARIZONA,2008,39455
361,ARKANSAS,2008,13135
362,CALIFORNIA,2008,171085
363,COLORADO,2008,23211
364,CONNECTICUT,2008,19905
365,DELAWARE,2008,6944
366,FLORIDA,2008,99878
367,GEORGIA,2008,52719
368,HAWAII,2008,5455
369,IDAHO,2008,7033
370,ILLINOIS,2008,45474
371,INDIANA,2008,26392
372,IOWA,2008,8723
373,KANSAS,2008,8556
374,KENTUCKY,2008,15260
375,LOUISIANA,2008,20857
376,MAINE,2008,2047
377,MARYLAND,2008,23141
378,MASSACHUSETTS,2008,11174
379,MICHIGAN,2008,48738
380,MINNESOTA,2008,9031
381,MISSISSIPPI,2008,17896
382,MISSOURI,2008,30137
383,MONTANA,2008,2910
384,NEBRASKA,2008,4470
385,NEVADA,2008,12877
386,NEW HAMPSHIRE,2008,2854
387,NEW JERSEY,2008,24835
388,NEW MEXICO,2008,6321
389,NEW YORK,2008,60198
390,NORTH CAROLINA,2008,39957
391,NORTH DAKOTA,2008,1379
392,OHIO,2008,50884
393,OKLAHOMA,2008,23676
394,OREGON,2008,13541
395,PENNSYLVANIA,2008,48736
396,RHODE ISLAND,2008,3739
397,SOUTH CAROLINA,2008,23685
398,SOUTH DAKOTA,2008,3352
399,TENNESSEE,2008,19379
400,TEXAS,2008,159237
401,UTAH,2008,5132
402,VERMONT,2008,2116
403,VIRGINIA,2008,32585
404,WASHINGTON,2008,17188
405,WEST VIRGINIA,2008,4896
406,WISCONSIN,2008,22282
407,WYOMING,2008,1704
409,ALABAMA,2009,27241
410,ALASKA,2009,5472
411,ARIZONA,2009,40544
412,ARKANSAS,2009,13338
413,CALIFORNIA,2009,168830
414,COLORADO,2009,22725
415,CONNECTICUT,2009,18938
416,DELAWARE,2009,6581
417,FLORIDA,2009,101373
418,GEORGIA,2009,53538
419,HAWAII,2009,4848
420,IDAHO,2009,7184
421,ILLINOIS,2009,45161
422,INDIANA,2009,26748
423,IOWA,2009,8914
424,KANSAS,2009,8644
425,KENTUCKY,2009,14984
426,LOUISIANA,2009,19889
427,MAINE,2009,2074
428,MARYLAND,2009,22066
429,MASSACHUSETTS,2009,11156
430,MICHIGAN,2009,45478
431,MINNESOTA,2009,9500
432,MISSISSIPPI,2009,17212
433,MISSOURI,2009,30519
434,MONTANA,2009,3085
435,NEBRASKA,2009,4490
436,NEVADA,2009,12570
437,NEW HAMPSHIRE,2009,2915
438,NEW JERSEY,2009,24115
439,NEW MEXICO,2009,6584
440,NEW YORK,2009,58479
441,NORTH CAROLINA,2009,40133
442,NORTH DAKOTA,2009,1436
443,OHIO,2009,50783
444,OKLAHOMA,2009,24053
445,OREGON,2009,13735
446,PENNSYLVANIA,2009,50485
447,RHODE ISLAND,2009,3413
448,SOUTH CAROLINA,2009,23685
449,SOUTH DAKOTA,2009,3390
450,TENNESSEE,2009,19932
451,TEXAS,2009,158542
452,UTAH,2009,5244
453,VERMONT,2009,2220
454,VIRGINIA,2009,30995
455,WASHINGTON,2009,17255
456,WEST VIRGINIA,2009,5062
457,WISCONSIN,2009,22262
458,WYOMING,2009,1743
460,ALABAMA,2010,27345
461,ALASKA,2010,5369
