year_state,state,state_abbr,year,ed_enrollment,ed_total_exp_1k,prisoner_count,corr_total_exp_1k,state_population,cost_per_stu,stu_to_pop_percent,cost_per_prisoner,prisoner_to_pop_percent
2006_ALABAMA,ALABAMA,AL,2006,743265,6591429,24103,626112,4599030,8868,16.16,25977,0.52
2007_ALABAMA,ALABAMA,AL,2007,743273,7196459,25253,764056,4627851,9682,16.06,30256,0.55
2008_ALABAMA,ALABAMA,AL,2008,742919,7847387,25363,704294,4661900,10563,15.94,27769,0.54
2009_ALABAMA,ALABAMA,AL,2009,745668,7815467,27241,741164,4708708,10481,15.84,27208,0.58
2010_ALABAMA,ALABAMA,AL,2010,748889,7647571,27345,727653,4785401,10212,15.65,26610,0.57
2011_ALABAMA,ALABAMA,AL,2011,746933,7411768,26813,723829,4803689,9923,15.55,26995,0.56
2012_ALABAMA,ALABAMA,AL,2012,744621,7222161,26768,711823,4817528,9699,15.46,26592,0.56
2013_ALABAMA,ALABAMA,AL,2013,744548,7487741,26825,698906,4833996,10057,15.4,26054,0.55
2014_ALABAMA,ALABAMA,AL,2014,740081,7587737,26145,713432,4849377,10253,15.26,27288,0.54
2015_ALABAMA,ALABAMA,AL,2015,734974,7501799,25212,742594,4858979,10207,15.13,29454,0.52
2016_ALABAMA,ALABAMA,AL,2016,734652,7708845,23745,722269,4860545,10493,15.11,30418,0.49
2006_ALASKA,ALASKA,AK,2006,132893,1817656,5052,212043,670053,13678,19.83,41972,0.75
2007_ALASKA,ALASKA,AK,2007,132197,1938755,5151,240596,683478,14666,19.34,46709,0.75
2008_ALASKA,ALASKA,AK,2008,130624,2274819,4997,248805,686293,17415,19.03,49791,0.73
2009_ALASKA,ALASKA,AK,2009,130236,2396412,5472,262996,698473,18401,18.65,48062,0.78
2010_ALASKA,ALASKA,AK,2010,131265,2371251,5369,274272,714146,18065,18.38,51084,0.75
2011_ALASKA,ALASKA,AK,2011,131704,2443898,6216,287214,723860,18556,18.19,46206,0.86
2012_ALASKA,ALASKA,AK,2012,130771,2483320,6308,316239,730307,18990,17.91,50133,0.86
2013_ALASKA,ALASKA,AK,2013,131091,2665933,5081,339966,737259,20337,17.78,66909,0.69
2014_ALASKA,ALASKA,AK,2014,130539,2727056,6323,342152,736732,20891,17.72,54112,0.86
2015_ALASKA,ALASKA,AK,2015,130755,2968341,5247,346872,738432,22702,17.71,66109,0.71
2016_ALASKA,ALASKA,AK,2016,132477,2623014,4378,338266,741522,19800,17.87,77265,0.59
2006_ARIZONA,ARIZONA,AZ,2006,947266,7934177,35752,1428311,6166318,8376,15.36,39951,0.58
2007_ARIZONA,ARIZONA,AZ,2007,969875,8709531,37700,1542758,6338755,8980,15.3,40922,0.59
2008_ARIZONA,ARIZONA,AZ,2008,987332,9581201,39455,1643841,6500180,9704,15.19,41664,0.61
2009_ARIZONA,ARIZONA,AZ,2009,981303,9580393,40544,1783640,6595778,9763,14.88,43993,0.61
2010_ARIZONA,ARIZONA,AZ,2010,963517,8812967,40130,1664902,6413158,9147,15.02,41488,0.63
2011_ARIZONA,ARIZONA,AZ,2011,946571,8610417,39949,1466189,6467315,9096,14.64,36702,0.62
2012_ARIZONA,ARIZONA,AZ,2012,942738,8054662,40013,1544480,6551149,8544,14.39,38599,0.61
2013_ARIZONA,ARIZONA,AZ,2013,941726,7600581,41031,1644788,6634997,8071,14.19,40086,0.62
2014_ARIZONA,ARIZONA,AZ,2014,943937,8109460,42136,1651930,6731484,8591,14.02,39205,0.63
2015_ARIZONA,ARIZONA,AZ,2015,944978,7902600,42204,1708409,6828065,8363,13.84,40480,0.62
