,year_state,state,state_abbr,lat,long,year,ed_enrollment,ed_total_exp_1k,prisoner_count,corr_total_exp_1k,state_population,cost_per_stu,stu_to_pop_percent,cost_per_prisoner,prisoner_to_pop_percent
0,2006_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2006,743265,6591429,24103.0,626112,4599030,8868.0,16.16,25977.0,0.52
1,2007_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2007,743273,7196459,25253.0,764056,4627851,9682.0,16.06,30256.0,0.55
2,2008_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2008,742919,7847387,25363.0,704294,4661900,10563.0,15.94,27769.0,0.54
3,2009_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2009,745668,7815467,27241.0,741164,4708708,10481.0,15.84,27208.0,0.58
4,2010_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2010,748889,7647571,27345.0,727653,4785401,10212.0,15.65,26610.0,0.57
5,2011_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2011,746933,7411768,26813.0,723829,4803689,9923.0,15.55,26995.0,0.56
6,2012_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2012,744621,7222161,26768.0,711823,4817528,9699.0,15.46,26592.0,0.56
7,2013_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2013,744548,7487741,26825.0,698906,4833996,10057.0,15.4,26054.0,0.55
8,2014_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2014,740081,7587737,26145.0,713432,4849377,10253.0,15.26,27288.0,0.54
9,2015_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2015,734974,7501799,25212.0,742594,4858979,10207.0,15.13,29454.0,0.52
10,2016_ALABAMA,ALABAMA,AL,32.806671,-86.79113,2016,734652,7708845,23745.0,722269,4860545,10493.0,15.11,30418.0,0.49
11,2006_ALASKA,ALASKA,AK,61.370716,-152.404419,2006,132893,1817656,5052.0,212043,670053,13678.0,19.83,41972.0,0.75
12,2007_ALASKA,ALASKA,AK,61.370716,-152.404419,2007,132197,1938755,5151.0,240596,683478,14666.0,19.34,46709.0,0.75
13,2008_ALASKA,ALASKA,AK,61.370716,-152.404419,2008,130624,2274819,4997.0,248805,686293,17415.0,19.03,49791.0,0.73
14,2009_ALASKA,ALASKA,AK,61.370716,-152.404419,2009,130236,2396412,5472.0,262996,698473,18401.0,18.65,48062.0,0.78
15,2010_ALASKA,ALASKA,AK,61.370716,-152.404419,2010,131265,2371251,5369.0,274272,714146,18065.0,18.38,51084.0,0.75
16,2011_ALASKA,ALASKA,AK,61.370716,-152.404419,2011,131704,2443898,6216.0,287214,723860,18556.0,18.19,46206.0,0.86
17,2012_ALASKA,ALASKA,AK,61.370716,-152.404419,2012,130771,2483320,6308.0,316239,730307,18990.0,17.91,50133.0,0.86
18,2013_ALASKA,ALASKA,AK,61.370716,-152.404419,2013,131091,2665933,5081.0,339966,737259,20337.0,17.78,66909.0,0.69
19,2014_ALASKA,ALASKA,AK,61.370716,-152.404419,2014,130539,2727056,6323.0,342152,736732,20891.0,17.72,54112.0,0.86
20,2015_ALASKA,ALASKA,AK,61.370716,-152.404419,2015,130755,2968341,5247.0,346872,738432,22702.0,17.71,66109.0,0.71
21,2016_ALASKA,ALASKA,AK,61.370716,-152.404419,2016,132477,2623014,4378.0,338266,741522,19800.0,17.87,77265.0,0.59
22,2006_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2006,947266,7934177,35752.0,1428311,6166318,8376.0,15.36,39951.0,0.58
23,2007_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2007,969875,8709531,37700.0,1542758,6338755,8980.0,15.3,40922.0,0.59
24,2008_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2008,987332,9581201,39455.0,1643841,6500180,9704.0,15.19,41664.0,0.61
25,2009_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2009,981303,9580393,40544.0,1783640,6595778,9763.0,14.88,43993.0,0.61
26,2010_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2010,963517,8812967,40130.0,1664902,6413158,9147.0,15.02,41488.0,0.63
27,2011_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2011,946571,8610417,39949.0,1466189,6467315,9096.0,14.64,36702.0,0.62
28,2012_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2012,942738,8054662,40013.0,1544480,6551149,8544.0,14.39,38599.0,0.61
29,2013_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2013,941726,7600581,41031.0,1644788,6634997,8071.0,14.19,40086.0,0.62
30,2014_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2014,943937,8109460,42136.0,1651930,6731484,8591.0,14.02,39205.0,0.63
31,2015_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2015,944978,7902600,42204.0,1708409,6828065,8363.0,13.84,40480.0,0.62
32,2016_ARIZONA,ARIZONA,AZ,33.729759,-111.431221,2016,938274,7987011,42248.0,1684710,6908642,8512.0,13.58,39877.0,0.61
33,2006_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2006,472609,4343877,12854.0,446200,2810872,9191.0,16.81,34713.0,0.46
34,2007_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2007,474532,4779308,13275.0,447591,2834797,10072.0,16.74,33717.0,0.47
35,2008_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2008,476110,4720720,13135.0,499825,2855390,9915.0,16.67,38053.0,0.46
36,2009_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2009,474423,5017352,13338.0,432535,2889450,10576.0,16.42,32429.0,0.46
37,2010_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2010,474897,5520387,14192.0,498015,2921588,11624.0,16.25,35091.0,0.49
38,2011_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2011,475551,5669431,14090.0,543865,2938582,11922.0,16.18,38599.0,0.48
39,2012_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2012,475671,5299969,14043.0,558134,2949828,11142.0,16.13,39745.0,0.48
40,2013_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2013,477716,5226339,14295.0,555466,2958765,10940.0,16.15,38857.0,0.48
41,2014_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2014,479881,5242672,15250.0,566911,2966369,10925.0,16.18,37174.0,0.51
42,2015_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2015,479682,5350543,15784.0,587690,2978204,11154.0,16.11,37233.0,0.53
43,2016_ARKANSAS,ARKANSAS,AR,34.96116203,-92.373123,2016,479177,5434193,15833.0,597459,2988231,11341.0,16.04,37735.0,0.53
44,2006_CALIFORNIA,CALIFORNIA,CA,36.116203,-119.681564,2006,6295994,68722432,172298.0,10914128,36457549,10915.0,17.27,63344.0,0.47
45,2007_CALIFORNIA,CALIFORNIA,CA,36.116203,-119.681564,2007,6288686,73225422,171444.0,12625215,36553215,11644.0,17.2,73640.0,0.47
46,2008_CALIFORNIA,CALIFORNIA,CA,36.116203,-119.681564,2008,6258421,76618865,171085.0,13542366,36756666,12243.0,17.03,79156.0,0.47
