,year_state,state,year,enrollment,total_expenditure
714,2006_ALABAMA,ALABAMA,2006,743265,6591429
715,2006_ALASKA,ALASKA,2006,132893,1817656
716,2006_ARIZONA,ARIZONA,2006,947266,7934177
717,2006_ARKANSAS,ARKANSAS,2006,472609,4343877
718,2006_CALIFORNIA,CALIFORNIA,2006,6295994,68722432
719,2006_COLORADO,COLORADO,2006,778842,7803324
720,2006_CONNECTICUT,CONNECTICUT,2006,549744,7982143
721,2006_DELAWARE,DELAWARE,2006,114371,1646885
723,2006_FLORIDA,FLORIDA,2006,2663973,26609155
724,2006_GEORGIA,GEORGIA,2006,1597682,15839227
725,2006_HAWAII,HAWAII,2006,182818,1939968
726,2006_IDAHO,IDAHO,2006,258314,1903720
727,2006_ILLINOIS,ILLINOIS,2006,2097585,22622323
728,2006_INDIANA,INDIANA,2006,1026106,11260755
729,2006_IOWA,IOWA,2006,483482,4930613
730,2006_KANSAS,KANSAS,2006,467279,4439000
731,2006_KENTUCKY,KENTUCKY,2006,679621,6112978
732,2006_LOUISIANA,LOUISIANA,2006,648313,6032182
733,2006_MAINE,MAINE,2006,195675,2381439
734,2006_MARYLAND,MARYLAND,2006,860021,10585292
735,2006_MASSACHUSETTS,MASSACHUSETTS,2006,949951,13503621
736,2006_MICHIGAN,MICHIGAN,2006,1714416,20626758
737,2006_MINNESOTA,MINNESOTA,2006,812040,9671933
738,2006_MISSISSIPPI,MISSISSIPPI,2006,493952,4066036
739,2006_MISSOURI,MISSOURI,2006,913765,8654672
740,2006_MONTANA,MONTANA,2006,145259,1377599
741,2006_NEBRASKA,NEBRASKA,2006,285547,2867250
742,2006_NEVADA,NEVADA,2006,412747,4022979
743,2006_NEW HAMPSHIRE,NEW HAMPSHIRE,2006,201044,2494247
744,2006_NEW JERSEY,NEW JERSEY,2006,1371155,24177714
745,2006_NEW MEXICO,NEW MEXICO,2006,326761,3099738
746,2006_NEW YORK,NEW YORK,2006,2787366,48359774
747,2006_NORTH CAROLINA,NORTH CAROLINA,2006,1378306,11725031
748,2006_NORTH DAKOTA,NORTH DAKOTA,2006,98172,1017084
749,2006_OHIO,OHIO,2006,1769200,20589584
750,2006_OKLAHOMA,OKLAHOMA,2006,634468,5094695
751,2006_OREGON,OREGON,2006,556185,5386128
752,2006_PENNSYLVANIA,PENNSYLVANIA,2006,1752402,24195122
753,2006_RHODE ISLAND,RHODE ISLAND,2006,150112,1983578
754,2006_SOUTH CAROLINA,SOUTH CAROLINA,2006,699027,7148083
755,2006_SOUTH DAKOTA,SOUTH DAKOTA,2006,121718,1052315
756,2006_TENNESSEE,TENNESSEE,2006,953514,7395357
757,2006_TEXAS,TEXAS,2006,4450272,43394244
758,2006_UTAH,UTAH,2006,496507,3371338
759,2006_VERMONT,VERMONT,2006,90850,1711762
760,2006_VIRGINIA,VIRGINIA,2006,1213616,13481336
761,2006_WASHINGTON,WASHINGTON,2006,1031668,9915617
762,2006_WEST VIRGINIA,WEST VIRGINIA,2006,279788,2852607
763,2006_WISCONSIN,WISCONSIN,2006,869596,9779642
764,2006_WYOMING,WYOMING,2006,86155,1146527
765,2007_ALABAMA,ALABAMA,2007,743273,7196459
766,2007_ALASKA,ALASKA,2007,132197,1938755
767,2007_ARIZONA,ARIZONA,2007,969875,8709531
768,2007_ARKANSAS,ARKANSAS,2007,474532,4779308
769,2007_CALIFORNIA,CALIFORNIA,2007,6288686,73225422
770,2007_COLORADO,COLORADO,2007,790211,8039146
771,2007_CONNECTICUT,CONNECTICUT,2007,549230,8685421
