,state,year,prisoner_count,state_population,year_state
256,ALABAMA,2006.0,24103.0,4599030,2006_ALABAMA
257,ALASKA,2006.0,5052.0,670053,2006_ALASKA
258,ARIZONA,2006.0,35752.0,6166318,2006_ARIZONA
259,ARKANSAS,2006.0,12854.0,2810872,2006_ARKANSAS
260,CALIFORNIA,2006.0,172298.0,36457549,2006_CALIFORNIA
261,COLORADO,2006.0,22051.0,4753377,2006_COLORADO
262,CONNECTICUT,2006.0,18902.0,3504809,2006_CONNECTICUT
263,DELAWARE,2006.0,7021.0,853476,2006_DELAWARE
264,FLORIDA,2006.0,90377.0,18089888,2006_FLORIDA
265,GEORGIA,2006.0,52792.0,9363941,2006_GEORGIA
266,HAWAII,2006.0,5510.0,1285498,2006_HAWAII
267,IDAHO,2006.0,6665.0,1466465,2006_IDAHO
268,ILLINOIS,2006.0,45106.0,12831970,2006_ILLINOIS
269,INDIANA,2006.0,24901.0,6313520,2006_INDIANA
270,IOWA,2006.0,8838.0,2982085,2006_IOWA
271,KANSAS,2006.0,8833.0,2764075,2006_KANSAS
272,KENTUCKY,2006.0,15589.0,4206074,2006_KENTUCKY
273,LOUISIANA,2006.0,20815.0,4287768,2006_LOUISIANA
274,MAINE,2006.0,2083.0,1321574,2006_MAINE
275,MARYLAND,2006.0,22662.0,5615727,2006_MARYLAND
276,MASSACHUSETTS,2006.0,10773.0,6437193,2006_MASSACHUSETTS
277,MICHIGAN,2006.0,51515.0,10095643,2006_MICHIGAN
278,MINNESOTA,2006.0,8814.0,5167101,2006_MINNESOTA
279,MISSISSIPPI,2006.0,16384.0,2910540,2006_MISSISSIPPI
280,MISSOURI,2006.0,30116.0,5842713,2006_MISSOURI
281,MONTANA,2006.0,2948.0,944632,2006_MONTANA
282,NEBRASKA,2006.0,4399.0,1768331,2006_NEBRASKA
283,NEVADA,2006.0,12754.0,2495529,2006_NEVADA
284,NEW HAMPSHIRE,2006.0,2676.0,1314895,2006_NEW HAMPSHIRE
285,NEW JERSEY,2006.0,25554.0,8724560,2006_NEW JERSEY
286,NEW MEXICO,2006.0,6639.0,1954599,2006_NEW MEXICO
287,NEW YORK,2006.0,63538.0,19306183,2006_NEW YORK
288,NORTH CAROLINA,2006.0,37725.0,8856505,2006_NORTH CAROLINA
289,NORTH DAKOTA,2006.0,1337.0,635867,2006_NORTH DAKOTA
290,OHIO,2006.0,48482.0,11478006,2006_OHIO
291,OKLAHOMA,2006.0,22873.0,3579212,2006_OKLAHOMA
292,OREGON,2006.0,13191.0,3700758,2006_OREGON
293,PENNSYLVANIA,2006.0,43971.0,12440621,2006_PENNSYLVANIA
294,RHODE ISLAND,2006.0,3713.0,1067610,2006_RHODE ISLAND
295,SOUTH CAROLINA,2006.0,22930.0,4321249,2006_SOUTH CAROLINA
296,SOUTH DAKOTA,2006.0,3316.0,781919,2006_SOUTH DAKOTA
297,TENNESSEE,2006.0,19312.0,6038803,2006_TENNESSEE
298,TEXAS,2006.0,158510.0,23507783,2006_TEXAS
299,UTAH,2006.0,5031.0,2550063,2006_UTAH
300,VERMONT,2006.0,2215.0,623908,2006_VERMONT
301,VIRGINIA,2006.0,30823.0,7642884,2006_VIRGINIA
302,WASHINGTON,2006.0,16827.0,6395798,2006_WASHINGTON
303,WEST VIRGINIA,2006.0,4367.0,1818470,2006_WEST VIRGINIA
304,WISCONSIN,2006.0,22564.0,5556506,2006_WISCONSIN
305,WYOMING,2006.0,2035.0,515004,2006_WYOMING
307,ALABAMA,2007.0,25253.0,4627851,2007_ALABAMA
308,ALASKA,2007.0,5151.0,683478,2007_ALASKA
309,ARIZONA,2007.0,37700.0,6338755,2007_ARIZONA
310,ARKANSAS,2007.0,13275.0,2834797,2007_ARKANSAS
311,CALIFORNIA,2007.0,171444.0,36553215,2007_CALIFORNIA
312,COLORADO,2007.0,22666.0,4861515,2007_COLORADO
313,CONNECTICUT,2007.0,19438.0,3502309,2007_CONNECTICUT
314,DELAWARE,2007.0,7110.0,864764,2007_DELAWARE
315,FLORIDA,2007.0,95187.0,18251243,2007_FLORIDA
316,GEORGIA,2007.0,54256.0,9544750,2007_GEORGIA
317,HAWAII,2007.0,5457.0,1283388,2007_HAWAII
318,IDAHO,2007.0,7055.0,1499402,2007_IDAHO
319,ILLINOIS,2007.0,45215.0,12852548,2007_ILLINOIS
320,INDIANA,2007.0,25137.0,6345289,2007_INDIANA
321,IOWA,2007.0,8692.0,2988046,2007_IOWA
322,KANSAS,2007.0,8721.0,2775997,2007_KANSAS
323,KENTUCKY,2007.0,15364.0,4241474,2007_KENTUCKY
324,LOUISIANA,2007.0,20461.0,4293204,2007_LOUISIANA
325,MAINE,2007.0,2148.0,1317207,2007_MAINE
326,MARYLAND,2007.0,23184.0,5618344,2007_MARYLAND
327,MASSACHUSETTS,2007.0,11071.0,6449755,2007_MASSACHUSETTS
328,MICHIGAN,2007.0,50233.0,10071822,2007_MICHIGAN
329,MINNESOTA,2007.0,9192.0,5197621,2007_MINNESOTA
330,MISSISSIPPI,2007.0,17478.0,2918785,2007_MISSISSIPPI
331,MISSOURI,2007.0,29823.0,5878415,2007_MISSOURI
332,MONTANA,2007.0,2909.0,957861,2007_MONTANA
333,NEBRASKA,2007.0,4402.0,1774571,2007_NEBRASKA
334,NEVADA,2007.0,13311.0,2565382,2007_NEVADA
335,NEW HAMPSHIRE,2007.0,2759.0,1315828,2007_NEW HAMPSHIRE
336,NEW JERSEY,2007.0,25354.0,8685920,2007_NEW JERSEY
337,NEW MEXICO,2007.0,6429.0,1969915,2007_NEW MEXICO
338,NEW YORK,2007.0,62738.0,19297729,2007_NEW YORK
339,NORTH CAROLINA,2007.0,38240.0,9061032,2007_NORTH CAROLINA
340,NORTH DAKOTA,2007.0,1392.0,639715,2007_NORTH DAKOTA
341,OHIO,2007.0,49894.0,11466917,2007_OHIO
342,OKLAHOMA,2007.0,23778.0,3617316,2007_OKLAHOMA
343,OREGON,2007.0,13373.0,3747455,2007_OREGON
344,PENNSYLVANIA,2007.0,45530.0,12432792,2007_PENNSYLVANIA
345,RHODE ISLAND,2007.0,3745.0,1057832,2007_RHODE ISLAND
346,SOUTH CAROLINA,2007.0,23578.0,4407709,2007_SOUTH CAROLINA
347,SOUTH DAKOTA,2007.0,3276.0,796214,2007_SOUTH DAKOTA
348,TENNESSEE,2007.0,19268.0,6156719,2007_TENNESSEE
349,TEXAS,2007.0,158576.0,23904380,2007_TEXAS
350,UTAH,2007.0,5165.0,2645330,2007_UTAH
351,VERMONT,2007.0,2116.0,621254,2007_VERMONT
352,VIRGINIA,2007.0,32977.0,7712091,2007_VIRGINIA
353,WASHINGTON,2007.0,16911.0,6468424,2007_WASHINGTON
354,WEST VIRGINIA,2007.0,4907.0,1812035,2007_WEST VIRGINIA
355,WISCONSIN,2007.0,22839.0,5601640,2007_WISCONSIN
356,WYOMING,2007.0,1927.0,522830,2007_WYOMING
358,ALABAMA,2008.0,25363.0,4661900,2008_ALABAMA
359,ALASKA,2008.0,4997.0,686293,2008_ALASKA
360,ARIZONA,2008.0,39455.0,6500180,2008_ARIZONA
361,ARKANSAS,2008.0,13135.0,2855390,2008_ARKANSAS
362,CALIFORNIA,2008.0,171085.0,36756666,2008_CALIFORNIA
363,COLORADO,2008.0,23211.0,4939456,2008_COLORADO
364,CONNECTICUT,2008.0,19905.0,3501252,2008_CONNECTICUT
365,DELAWARE,2008.0,6944.0,873092,2008_DELAWARE
366,FLORIDA,2008.0,99878.0,18328340,2008_FLORIDA
367,GEORGIA,2008.0,52719.0,9685744,2008_GEORGIA
368,HAWAII,2008.0,5455.0,1288198,2008_HAWAII
369,IDAHO,2008.0,7033.0,1523816,2008_IDAHO
370,ILLINOIS,2008.0,45474.0,12901563,2008_ILLINOIS
371,INDIANA,2008.0,26392.0,6376792,2008_INDIANA
372,IOWA,2008.0,8723.0,3002555,2008_IOWA
373,KANSAS,2008.0,8556.0,2802134,2008_KANSAS
374,KENTUCKY,2008.0,15260.0,4269245,2008_KENTUCKY
375,LOUISIANA,2008.0,20857.0,4410796,2008_LOUISIANA
376,MAINE,2008.0,2047.0,1316456,2008_MAINE
377,MARYLAND,2008.0,23141.0,5633597,2008_MARYLAND
378,MASSACHUSETTS,2008.0,11174.0,6497967,2008_MASSACHUSETTS
379,MICHIGAN,2008.0,48738.0,10003422,2008_MICHIGAN
380,MINNESOTA,2008.0,9031.0,5220393,2008_MINNESOTA
381,MISSISSIPPI,2008.0,17896.0,2938618,2008_MISSISSIPPI
382,MISSOURI,2008.0,30137.0,5911605,2008_MISSOURI
383,MONTANA,2008.0,2910.0,967440,2008_MONTANA
384,NEBRASKA,2008.0,4470.0,1783432,2008_NEBRASKA
385,NEVADA,2008.0,12877.0,2600167,2008_NEVADA
386,NEW HAMPSHIRE,2008.0,2854.0,1315809,2008_NEW HAMPSHIRE
387,NEW JERSEY,2008.0,24835.0,8682661,2008_NEW JERSEY
388,NEW MEXICO,2008.0,6321.0,1984356,2008_NEW MEXICO
389,NEW YORK,2008.0,60198.0,19490297,2008_NEW YORK
390,NORTH CAROLINA,2008.0,39957.0,9222414,2008_NORTH CAROLINA
391,NORTH DAKOTA,2008.0,1379.0,641481,2008_NORTH DAKOTA
392,OHIO,2008.0,50884.0,11485910,2008_OHIO
393,OKLAHOMA,2008.0,23676.0,3642361,2008_OKLAHOMA
394,OREGON,2008.0,13541.0,3790060,2008_OREGON
395,PENNSYLVANIA,2008.0,48736.0,12448279,2008_PENNSYLVANIA
396,RHODE ISLAND,2008.0,3739.0,1050788,2008_RHODE ISLAND
397,SOUTH CAROLINA,2008.0,23685.0,4479800,2008_SOUTH CAROLINA
398,SOUTH DAKOTA,2008.0,3352.0,804194,2008_SOUTH DAKOTA
399,TENNESSEE,2008.0,19379.0,6214888,2008_TENNESSEE
400,TEXAS,2008.0,159237.0,24326974,2008_TEXAS
401,UTAH,2008.0,5132.0,2736424,2008_UTAH
402,VERMONT,2008.0,2116.0,621270,2008_VERMONT
403,VIRGINIA,2008.0,32585.0,7769089,2008_VIRGINIA
404,WASHINGTON,2008.0,17188.0,6549224,2008_WASHINGTON
405,WEST VIRGINIA,2008.0,4896.0,1814468,2008_WEST VIRGINIA
406,WISCONSIN,2008.0,22282.0,5627967,2008_WISCONSIN
407,WYOMING,2008.0,1704.0,532668,2008_WYOMING
409,ALABAMA,2009.0,27241.0,4708708,2009_ALABAMA
410,ALASKA,2009.0,5472.0,698473,2009_ALASKA
411,ARIZONA,2009.0,40544.0,6595778,2009_ARIZONA
412,ARKANSAS,2009.0,13338.0,2889450,2009_ARKANSAS
413,CALIFORNIA,2009.0,168830.0,36961664,2009_CALIFORNIA
414,COLORADO,2009.0,22725.0,5024748,2009_COLORADO
415,CONNECTICUT,2009.0,18938.0,3518288,2009_CONNECTICUT
416,DELAWARE,2009.0,6581.0,885122,2009_DELAWARE
417,FLORIDA,2009.0,101373.0,18537969,2009_FLORIDA
418,GEORGIA,2009.0,53538.0,9829211,2009_GEORGIA
419,HAWAII,2009.0,4848.0,1295178,2009_HAWAII
420,IDAHO,2009.0,7184.0,1545801,2009_IDAHO
421,ILLINOIS,2009.0,45161.0,12910409,2009_ILLINOIS
422,INDIANA,2009.0,26748.0,6423113,2009_INDIANA
423,IOWA,2009.0,8914.0,3007856,2009_IOWA
424,KANSAS,2009.0,8644.0,2818747,2009_KANSAS
425,KENTUCKY,2009.0,14984.0,4314113,2009_KENTUCKY
426,LOUISIANA,2009.0,19889.0,4492076,2009_LOUISIANA
427,MAINE,2009.0,2074.0,1318301,2009_MAINE
428,MARYLAND,2009.0,22066.0,5699478,2009_MARYLAND
429,MASSACHUSETTS,2009.0,11156.0,6593587,2009_MASSACHUSETTS
430,MICHIGAN,2009.0,45478.0,9969727,2009_MICHIGAN
431,MINNESOTA,2009.0,9500.0,5266214,2009_MINNESOTA
432,MISSISSIPPI,2009.0,17212.0,2951996,2009_MISSISSIPPI
433,MISSOURI,2009.0,30519.0,5987580,2009_MISSOURI
434,MONTANA,2009.0,3085.0,974989,2009_MONTANA
435,NEBRASKA,2009.0,4490.0,1796619,2009_NEBRASKA
436,NEVADA,2009.0,12570.0,2643085,2009_NEVADA
437,NEW HAMPSHIRE,2009.0,2915.0,1324575,2009_NEW HAMPSHIRE
438,NEW JERSEY,2009.0,24115.0,8707739,2009_NEW JERSEY
439,NEW MEXICO,2009.0,6584.0,2009671,2009_NEW MEXICO
440,NEW YORK,2009.0,58479.0,19541453,2009_NEW YORK
441,NORTH CAROLINA,2009.0,40133.0,9380884,2009_NORTH CAROLINA
442,NORTH DAKOTA,2009.0,1436.0,646844,2009_NORTH DAKOTA
443,OHIO,2009.0,50783.0,11542645,2009_OHIO
444,OKLAHOMA,2009.0,24053.0,3687050,2009_OKLAHOMA
445,OREGON,2009.0,13735.0,3825657,2009_OREGON
446,PENNSYLVANIA,2009.0,50485.0,12604767,2009_PENNSYLVANIA
447,RHODE ISLAND,2009.0,3413.0,1053209,2009_RHODE ISLAND
448,SOUTH CAROLINA,2009.0,23685.0,4561242,2009_SOUTH CAROLINA
449,SOUTH DAKOTA,2009.0,3390.0,812383,2009_SOUTH DAKOTA
450,TENNESSEE,2009.0,19932.0,6296254,2009_TENNESSEE
451,TEXAS,2009.0,158542.0,24782302,2009_TEXAS
452,UTAH,2009.0,5244.0,2784572,2009_UTAH
453,VERMONT,2009.0,2220.0,621760,2009_VERMONT
454,VIRGINIA,2009.0,30995.0,7882590,2009_VIRGINIA
455,WASHINGTON,2009.0,17255.0,6664195,2009_WASHINGTON
456,WEST VIRGINIA,2009.0,5062.0,1819777,2009_WEST VIRGINIA
457,WISCONSIN,2009.0,22262.0,5654774,2009_WISCONSIN
458,WYOMING,2009.0,1743.0,544270,2009_WYOMING
460,ALABAMA,2010.0,27345.0,4785401,2010_ALABAMA
461,ALASKA,2010.0,5369.0,714146,2010_ALASKA
462,ARIZONA,2010.0,40130.0,6413158,2010_ARIZONA
463,ARKANSAS,2010.0,14192.0,2921588,2010_ARKANSAS
464,CALIFORNIA,2010.0,162821.0,37338198,2010_CALIFORNIA
465,COLORADO,2010.0,22752.0,5047692,2010_COLORADO
466,CONNECTICUT,2010.0,18629.0,3575498,2010_CONNECTICUT
467,DELAWARE,2010.0,6378.0,899792,2010_DELAWARE
468,FLORIDA,2010.0,102070.0,18838613,2010_FLORIDA
469,GEORGIA,2010.0,52794.0,9712157,2010_GEORGIA
470,HAWAII,2010.0,5294.0,1363359,2010_HAWAII
471,IDAHO,2010.0,7235.0,1571102,2010_IDAHO
472,ILLINOIS,2010.0,48418.0,12841980,2010_ILLINOIS
473,INDIANA,2010.0,27273.0,6490622,2010_INDIANA
474,IOWA,2010.0,9457.0,3050202,2010_IOWA
475,KANSAS,2010.0,9055.0,2859143,2010_KANSAS
476,KENTUCKY,2010.0,14501.0,4347223,2010_KENTUCKY
477,LOUISIANA,2010.0,19008.0,4545343,2010_LOUISIANA
478,MAINE,2010.0,1954.0,1327379,2010_MAINE
479,MARYLAND,2010.0,22856.0,5785681,2010_MARYLAND
480,MASSACHUSETTS,2010.0,11162.0,6555466,2010_MASSACHUSETTS
481,MICHIGAN,2010.0,44113.0,9877143,2010_MICHIGAN
482,MINNESOTA,2010.0,9397.0,5310658,2010_MINNESOTA
483,MISSISSIPPI,2010.0,16454.0,2970072,2010_MISSISSIPPI
484,MISSOURI,2010.0,30577.0,5995715,2010_MISSOURI
485,MONTANA,2010.0,3137.0,990958,2010_MONTANA
486,NEBRASKA,2010.0,4608.0,1830141,2010_NEBRASKA
487,NEVADA,2010.0,12192.0,2704283,2010_NEVADA
488,NEW HAMPSHIRE,2010.0,2617.0,1316807,2010_NEW HAMPSHIRE
489,NEW JERSEY,2010.0,24488.0,8799593,2010_NEW JERSEY
490,NEW MEXICO,2010.0,6659.0,2065913,2010_NEW MEXICO
491,NEW YORK,2010.0,56420.0,19395206,2010_NEW YORK
492,NORTH CAROLINA,2010.0,40375.0,9560234,2010_NORTH CAROLINA
493,NORTH DAKOTA,2010.0,1416.0,674629,2010_NORTH DAKOTA
494,OHIO,2010.0,51709.0,11537968,2010_OHIO
495,OKLAHOMA,2010.0,24147.0,3760184,2010_OKLAHOMA
496,OREGON,2010.0,13859.0,3838332,2010_OREGON
497,PENNSYLVANIA,2010.0,48087.0,12717722,2010_PENNSYLVANIA
498,RHODE ISLAND,2010.0,3159.0,1052528,2010_RHODE ISLAND
499,SOUTH CAROLINA,2010.0,23009.0,4637106,2010_SOUTH CAROLINA
500,SOUTH DAKOTA,2010.0,3393.0,816598,2010_SOUTH DAKOTA
501,TENNESSEE,2010.0,20037.0,6357436,2010_TENNESSEE
502,TEXAS,2010.0,160242.0,25253466,2010_TEXAS
503,UTAH,2010.0,5442.0,2775479,2010_UTAH
504,VERMONT,2010.0,2079.0,625909,2010_VERMONT
505,VIRGINIA,2010.0,31911.0,8023953,2010_VIRGINIA
506,WASHINGTON,2010.0,17028.0,6742950,2010_WASHINGTON
507,WEST VIRGINIA,2010.0,5072.0,1854368,2010_WEST VIRGINIA
508,WISCONSIN,2010.0,22033.0,5691659,2010_WISCONSIN
509,WYOMING,2010.0,2092.0,564554,2010_WYOMING
511,ALABAMA,2011.0,26813.0,4803689,2011_ALABAMA
512,ALASKA,2011.0,6216.0,723860,2011_ALASKA
513,ARIZONA,2011.0,39949.0,6467315,2011_ARIZONA
514,ARKANSAS,2011.0,14090.0,2938582,2011_ARKANSAS
515,CALIFORNIA,2011.0,147578.0,37683933,2011_CALIFORNIA
516,COLORADO,2011.0,21862.0,5116302,2011_COLORADO
517,CONNECTICUT,2011.0,17877.0,3586717,2011_CONNECTICUT
518,DELAWARE,2011.0,6546.0,908137,2011_DELAWARE
519,FLORIDA,2011.0,100861.0,19082262,2011_FLORIDA
520,GEORGIA,2011.0,52844.0,9812460,2011_GEORGIA
521,HAWAII,2011.0,5454.0,1378129,2011_HAWAII
522,IDAHO,2011.0,7470.0,1583744,2011_IDAHO
523,ILLINOIS,2011.0,48427.0,12859752,2011_ILLINOIS
524,INDIANA,2011.0,27402.0,6516353,2011_INDIANA
525,IOWA,2011.0,9115.0,3064097,2011_IOWA
526,KANSAS,2011.0,9330.0,2870386,2011_KANSAS
527,KENTUCKY,2011.0,14001.0,4366814,2011_KENTUCKY
528,LOUISIANA,2011.0,18844.0,4574766,2011_LOUISIANA
529,MAINE,2011.0,1978.0,1328544,2011_MAINE
530,MARYLAND,2011.0,23001.0,5839572,2011_MARYLAND
