Level: State and Local,,,,
Unit:Total (thousands), Nominal,,,
State,Year,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out
United States,2006,"$62,642,834 ","$60,171,656 ","$2,471,178 "
United States,2007,"$68,035,382 ","$64,811,380 ","$3,224,002 "
United States,2008,"$72,752,623 ","$69,199,149 ","$3,553,474 "
United States,2009,"$75,096,191 ","$71,234,610 ","$3,861,581 "
United States,2010,"$73,100,366 ","$69,993,986 ","$3,106,380 "
United States,2011,"$73,243,350 ","$70,331,507 ","$2,911,843 "
United States,2012,"$72,688,217 ","$69,491,391 ","$3,196,826 "
United States,2013,"$73,009,430 ","$70,525,454 ","$2,483,976 "
United States,2014,"$74,943,100 ","$71,852,930 ","$3,090,170 "
United States,2015,"$77,073,655 ","$74,312,702 ","$2,760,953 "
United States,2016,"$78,025,403 ","$75,398,915 ","$2,626,488 "
Alabama,2006,"$626,112 ","$597,654 ","$28,458 "
Alabama,2007,"$764,056 ","$661,016 ","$103,040 "
Alabama,2008,"$704,294 ","$682,245 ","$22,049 "
Alabama,2009,"$741,164 ","$710,132 ","$31,032 "
Alabama,2010,"$727,653 ","$722,513 ","$5,140 "
Alabama,2011,"$723,829 ","$712,957 ","$10,872 "
Alabama,2012,"$711,823 ","$690,446 ","$21,377 "
Alabama,2013,"$698,906 ","$678,355 ","$20,551 "
Alabama,2014,"$713,432 ","$683,805 ","$29,627 "
Alabama,2015,"$742,594 ","$705,107 ","$37,487 "
Alabama,2016,"$722,269 ","$693,461 ","$28,808 "
Alaska,2006,"$212,043 ","$210,194 ","$1,849 "
Alaska,2007,"$240,596 ","$238,838 ","$1,758 "
Alaska,2008,"$248,805 ","$245,229 ","$3,576 "
Alaska,2009,"$262,996 ","$259,270 ","$3,726 "
Alaska,2010,"$274,272 ","$266,516 ","$7,756 "
Alaska,2011,"$287,214 ","$284,222 ","$2,992 "
Alaska,2012,"$316,239 ","$300,646 ","$15,593 "
Alaska,2013,"$339,966 ","$324,440 ","$15,526 "
Alaska,2014,"$342,152 ","$335,038 ","$7,114 "
Alaska,2015,"$346,872 ","$329,955 ","$16,917 "
Alaska,2016,"$338,266 ","$324,147 ","$14,119 "
Arizona,2006,"$1,428,311 ","$1,355,148 ","$73,163 "
Arizona,2007,"$1,542,758 ","$1,513,646 ","$29,112 "
Arizona,2008,"$1,643,841 ","$1,608,114 ","$35,727 "
Arizona,2009,"$1,783,640 ","$1,628,111 ","$155,529 "
Arizona,2010,"$1,664,902 ","$1,496,615 ","$168,287 "
Arizona,2011,"$1,466,189 ","$1,415,868 ","$50,321 "
Arizona,2012,"$1,544,480 ","$1,468,607 ","$75,873 "
Arizona,2013,"$1,644,788 ","$1,597,888 ","$46,900 "
Arizona,2014,"$1,651,930 ","$1,597,127 ","$54,803 "
Arizona,2015,"$1,708,409 ","$1,652,547 ","$55,862 "
Arizona,2016,"$1,684,710 ","$1,662,964 ","$21,746 "
Arkansas,2006,"$446,200 ","$398,033 ","$48,167 "
Arkansas,2007,"$447,591 ","$409,451 ","$38,140 "
Arkansas,2008,"$499,825 ","$444,998 ","$54,827 "
Arkansas,2009,"$432,535 ","$392,216 ","$40,319 "
Arkansas,2010,"$498,015 ","$460,487 ","$37,528 "
Arkansas,2011,"$543,865 ","$507,090 ","$36,775 "
Arkansas,2012,"$558,134 ","$512,726 ","$45,408 "
Arkansas,2013,"$555,466 ","$540,832 ","$14,634 "
