Level: State and Local,,,,
Unit:Total (thousands), Nominal,,,
State,Year,(E021) Total Correct-Dir Exp,(E022) Total Correct-Cur Oper,(E023) Total Correct-Cap Out
United States,2010,"$73,100,366 ","$69,993,986 ","$3,106,380 "
United States,2011,"$73,243,350 ","$70,331,507 ","$2,911,843 "
United States,2012,"$72,688,217 ","$69,491,391 ","$3,196,826 "
United States,2013,"$73,009,430 ","$70,525,454 ","$2,483,976 "
United States,2014,"$74,943,100 ","$71,852,930 ","$3,090,170 "
United States,2015,"$77,073,655 ","$74,312,702 ","$2,760,953 "
United States,2016,"$78,025,403 ","$75,398,915 ","$2,626,488 "
Alabama,2010,"$727,653 ","$722,513 ","$5,140 "
Alabama,2011,"$723,829 ","$712,957 ","$10,872 "
Alabama,2012,"$711,823 ","$690,446 ","$21,377 "
Alabama,2013,"$698,906 ","$678,355 ","$20,551 "
Alabama,2014,"$713,432 ","$683,805 ","$29,627 "
Alabama,2015,"$742,594 ","$705,107 ","$37,487 "
Alabama,2016,"$722,269 ","$693,461 ","$28,808 "
Alaska,2010,"$274,272 ","$266,516 ","$7,756 "
Alaska,2011,"$287,214 ","$284,222 ","$2,992 "
Alaska,2012,"$316,239 ","$300,646 ","$15,593 "
Alaska,2013,"$339,966 ","$324,440 ","$15,526 "
Alaska,2014,"$342,152 ","$335,038 ","$7,114 "
Alaska,2015,"$346,872 ","$329,955 ","$16,917 "
Alaska,2016,"$338,266 ","$324,147 ","$14,119 "
Arizona,2010,"$1,664,902 ","$1,496,615 ","$168,287 "
Arizona,2011,"$1,466,189 ","$1,415,868 ","$50,321 "
Arizona,2012,"$1,544,480 ","$1,468,607 ","$75,873 "
Arizona,2013,"$1,644,788 ","$1,597,888 ","$46,900 "
Arizona,2014,"$1,651,930 ","$1,597,127 ","$54,803 "
Arizona,2015,"$1,708,409 ","$1,652,547 ","$55,862 "
Arizona,2016,"$1,684,710 ","$1,662,964 ","$21,746 "
Arkansas,2010,"$498,015 ","$460,487 ","$37,528 "
Arkansas,2011,"$543,865 ","$507,090 ","$36,775 "
Arkansas,2012,"$558,134 ","$512,726 ","$45,408 "
Arkansas,2013,"$555,466 ","$540,832 ","$14,634 "
Arkansas,2014,"$566,911 ","$537,384 ","$29,527 "
Arkansas,2015,"$587,690 ","$557,882 ","$29,808 "
Arkansas,2016,"$597,459 ","$591,257 ","$6,202 "
California,2010,"$12,931,191 ","$12,627,980 ","$303,211 "
California,2011,"$13,630,307 ","$12,884,440 ","$745,867 "
California,2012,"$13,691,104 ","$12,739,362 ","$951,742 "
California,2013,"$13,054,893 ","$12,753,985 ","$300,908 "
California,2014,"$14,343,228 ","$13,133,398 ","$1,209,830 "
California,2015,"$15,275,175 ","$14,267,009 ","$1,008,166 "
California,2016,"$15,468,283 ","$14,602,426 ","$865,857 "
Colorado,2010,"$1,312,747 ","$1,129,118 ","$183,629 "
Colorado,2011,"$1,215,364 ","$1,189,585 ","$25,779 "
Colorado,2012,"$1,243,601 ","$1,209,056 ","$34,545 "
Colorado,2013,"$1,186,992 ","$1,177,952 ","$9,040 "
Colorado,2014,"$1,252,486 ","$1,238,960 ","$13,526 "
Colorado,2015,"$1,316,236 ","$1,293,577 ","$22,659 "
Colorado,2016,"$1,313,095 ","$1,289,527 ","$23,568 "
Connecticut,2010,"$671,373 ","$664,082 ","$7,291 "
Connecticut,2011,"$687,886 ","$681,235 ","$6,651 "
Connecticut,2012,"$684,889 ","$676,383 ","$8,506 "
Connecticut,2013,"$658,973 ","$643,930 ","$15,043 "
Connecticut,2014,"$694,262 ","$688,439 ","$5,823 "
Connecticut,2015,"$699,051 ","$694,960 ","$4,091 "
Connecticut,2016,"$684,159 ","$680,094 ","$4,065 "
Delaware,2010,"$261,950 ","$259,802 ","$2,148 "
Delaware,2011,"$266,666 ","$265,591 ","$1,075 "
Delaware,2012,"$282,052 ","$281,014 ","$1,038 "
Delaware,2013,"$282,015 ","$280,152 ","$1,863 "
Delaware,2014,"$294,075 ","$291,136 ","$2,939 "
Delaware,2015,"$302,261 ","$300,586 ","$1,675 "
Delaware,2016,"$308,341 ","$306,653 ","$1,688 "
